headline,article
जल्द ही वापस लौटेंगे राहुल गांधी: कांग्रेस,"कांग्रेस उपाध्यक्ष के अपनी छुट्टी बढ़ाने की अटकलों के बीच पार्टी ने मंगलवार को कहा कि
राहुल गांधी
जल्द ही वापस आ जाएंगे और वह पार्टी में निर्णय लेने की प्रक्रिया में पूरी तरह शामिल हैं. पार्टी प्रवक्ता अभिषेक सिंघवी ने स्पष्ट किया कि राहुल जहां कहीं भी हैं, वह पार्टी में निर्णय लेने की प्रक्रिया में पूरी तरह शामिल हैं और उनमें हाल के बदलाव भी शामिल हैं.
उन्होंने कहा, ‘हर चीज उनकी निगरानी, उनके निरीक्षण में हो रही है. राहुल अपने उत्तरदायित्वों को निभा रहे हैं.’ सिंघवी इस खबर का खंडन कर रहे थे कि जब तक अहमद पटेल और जर्नादन द्विवेदी जैसे वरिष्ठ नेता हटा नहीं दिए जाते, तब तक राहुल पार्टी का काम हाथ में लेने वापस आने को इच्छुक नहीं हैं.
सिंघवी ने कहा कि वह मीडिया की अभिव्यक्ति की स्वतंत्रता पर टिप्पणी नहीं कर सकते. उन्होंने कहा कि कुछ लोग भले ही यह सोच रहे हों कि राहुल गांधी इस महीने के आखिर तक या इस साल के आखिर तक नहीं लौटेंगे लेकिन कांग्रेस उपाध्यक्ष बिल्कुल निकट भविष्य में शायद अगले सप्ताह ही वापस आ जाएंगे.
जब सिंघवी को यह बताया गया कि उनके सहयोगी एवं एक अन्य पार्टी प्रवक्ता रणदीप सुरजेवाला ने कहा था कि राहुल दो सप्ताह की छुट्टी पर गए हैं और इस आधार पर उन्हें अब तक वापस आ जाना चाहिए था, तो उन्होंने कहा, ‘किसी ने भी सटीक तारीख नहीं बताई थी.’ राहुल गांधी बजट सत्र के शुरू होने से पहले छुट्टी पर चले गए जिससे राजनीतिक गलियारों में यह अटकलें लगने लगी कि वह पार्टी चलाने के लिए पूरी तरह छूट नहीं मिलने से नाखुश हैं.






पार्टी ने पहले कहा था कि राहुल ने कांग्रेस अध्यक्ष सोनिया गांधी से पार्टी से जुड़े हाल के घटनाक्रम और उसकी भावी कार्य योजना को लेकर चिंतन-मनन करने के लिए कुछ वक्त देने का अनुरोध किया. पार्टी नेताओं ने कहा था कि राहुल मानते हैं कि कांग्रेस अपने आगामी सत्र में जो दिशा अपनाएगी, वह उसके भविष्य के लिए अहम होगी, इसलिए वह उसके लिए तैयारी करना चाहते हैं.
इनपुट: भाषा"
बिजली को लेकर योगी सरकार ने किए ये 10 बड़े ऐलान,"उत्तर प्रदेश की बीजेपी सरकार ने गर्मी में बिजली की आपूर्ति बेहतर करने के लिए बड़े ऐलान किए हैं. यूपी सरकार के प्रवक्ता श्रीकांत शर्मा ने बताया कि सरकार ने ग्रामीणों को 18 घंटे, तहसील को 20 घंटे, बुंदेलखंड को 24 घंटे और नवरात्र पर शक्तिपीठ पर 24 घंटे
बिजली
देने का ऐलान किया है. उन्होंने कहा कि अगर इस रोस्टर का सख्ती से पालन नहीं होगा, तो कार्रवाई की जाएगी. प्रवक्ता ने कहा कि अखिलेश सरकार की योजनाएं सिर्फ मुख्यमंत्री आवास तक ही सीमित थे.
1. जिला मुख्यालयों में 24 घंटे
बिजली
मिलेगी

2. तहसील मुख्यालयों पर 20 घंटे बिजली दी जाएगी

3. गांवों में पूरी गर्मी 18 घंटे बिजली मिलेगी

4. सभी शक्तिपीठों पर नवरात्रि के दौरान 24 घंटे बिजली सप्लाई की जाएगी

5. ऊर्जा विभाग के लोग गांवों में दिखने चाहिए

6. गांवों में ट्रांसफॉर्मर फूंकेगा तो 48 घंटे के अंदर बदले जाएंगे, पहले 72 घंटे की थी समय सीमा

7.  प्रदेश के सभी लोगों के लिए बिजली के सरचार्ज माफ होंगे

8. बुंदेलखंड में 20 घंटे बिजली दी जाएगी

9. शहरों में ट्रांसफर फूंकेगा तो 24 घंटे में बदला जाएगा

10. किसान अपने 10 हजार से ज्यादा का बिजली बिल का बकाया 4 कीस्तों  मे कर सकते हैं

11. 14 अप्रैल को केंद्र के साथ power for all का करार होगा

12. इस रोस्टर का सख्ती से पालन होगा और नहीं होने पर अफसरों पर कार्रवाई होगी."
उत्तर प्रदेश: बैंक की कैश वैन से बरामद हुई 130 पेटी अवैध शराब,"उत्तर प्रदेश के हापुड़ में पुलिस और आबकारी की टीम ने चेकिंग के दौरान बैंक की कैश वैन से अवैध शराब बरामद की है. इसके साथ ही पुलिस ने इस मामले में 6 लोगो को गिरफ्तार भी किया है. पुलिस ने शराब की 130 पेटी और 6240 पव्वे अवैध शराब को जब्त कर लिया है. आरोपियों से पूछताछ की जा रही है.
जानकारी के मुताबिक, हापुड़ के सिम्भावली थाना पुलिस टीम ने मुखबिर की सूचना पर सिम्भावली के राजपुरा गांव में आबकारी विभाग की टीम के साथ चेकिंग के दौरान बैंक की कैश वैन से 130 पेटी और 6240 पव्वे अवैध शराब के बरामद किए हैं. इस दौरान पुलिस ने मौके से 6 आरोपियों को भी गिरफ्तार किया है.
एएसपी रामनयन यादव ने बताया कि किसी को शक न हो इसलिए आरोपी कैश वैन में
अवैध शराब
रखकर उसकी तस्करी करते थे. पुलिस ने सूचना मिलने के बाद आरोपियों को गिरफ्तार कर अवैध शराब को जब्त कर लिया है. सभी 6 आरोपियों को जेल भेज दिया गया है. इस मामले की जांच की जा रही है."
FIFA: अमेरिका को हराकर बेल्जियम क्‍वार्टर फाइनल में,"केविन डि बूएन और रोमेलु लुकाकु के एक्‍स्‍ट्रा टाइम में किए गए गोल की बदौलत बेल्जियम ने अमेरिका को हराकर फुटबाल वर्ल्‍ड कप के क्वार्टर फाइनल में जगह बना ली है. इस रोमांचक मुकाबले में बेल्जियम ने अमेरिको को 2-1 से शिकस्‍त दी. शनिवार को क्वार्टर फाइनल में बेल्जियम की टक्‍कर अर्जेंटीना से होगी.
साल्वाडोर में अंतिम 16 के इस मुकाबले में नियमित समय तक कोई भी टीम गोल नहीं कर पाई थी. डि ब्रूएन ने 92वें मिनट में मैच का पहला गोल दागा. इस मिडफील्डर ने लुकाकु के पास पर गेंद को गोल के हवाले किया. लुकाकु ने 106वें मिनट में बेल्जियम की बढ़त 2-0 कर दी. इस बार डि ब्रूएन ने उनकी मदद की. इससे टूर्नामेंट के छुपे रूस्तम माने जा रहे बेल्जियम की क्वार्टर फाइनल में जगह लगभग पक्की लगने लगी, एक्‍स्‍ट्रा टाइम के दूसरे हाफ में बायर्न म्यूनिख के जुलियन ग्रीन मैदान पर उतरे और उन्होंने आते ही गोल दाग दिया.
मैच रोमांचक मोड़ पर आ गया. इसके बाद बेल्जियम को तनावपूर्ण समय से गुजरना पड़ा, लेकिन आखिरकार वह मैदान मार ले गई. इससे पहले बेल्जियम का वर्ल्‍ड कप में सर्वश्रेष्ठ प्रदर्शन 1986 में रहा था. तब वह सेमीफाइनल में पहुंचा था."
"अभिनेत्री पर टिप्पणी, अभिनेता- DMK नेता राधारवि पार्टी से सस्पेंड","#METOO से सुर्खियों में आए  द्रविड़ मुनेत्र कड़गम (DMK) के  वरिष्ठ नेता और जाने माने अभिनेता राधारवि  एक प्रसिद्ध अभिनेत्री नयनतारा पर गलत टिप्पणी की वजह से फिर से चर्चा में है.  स्त्री विरोधी टिप्पणी के मामले में कड़ा रुख अपनाते हुए DMK ने सोमवार को राधारवि को पार्टी से निलंबित कर दिया.
राधारवि ने यह टिप्पणी एक समारोह में की और इससे लोगों में नाराजगी फैल गई. उनके इस बयान पर अभिनेत्री तापसी पन्नू और अभिनेता विग्नेश शिवन समेत कई कलाकारों ने ऐतराज जताया है.
वहीं दूसरी तरफ सोशल मीडिया पर राधारवि को बुरी तरह ट्रोल किया जा रहा है और उनके बयान का वीडियो भी खूब वायरल हो रहा है.
द्रविड़ मुनेत्र कड़गम (DMK)के अध्यक्ष एमके स्टालिन ने कहा कि यह दल एक ऐसा आंदोलन भी है जिसने महिलाओं के अधिकारों की रक्षा की है और अभिनेता की ऐसी टिप्पणियां सहन नहीं की जा सकतीं.
एक ट्वीट में स्टालिन ने दल के महासचिव के.अंबझगन के बयान को अपलोड किया जिसमें कहा गया है कि राधारवि को DMK की बदनामी करने पर निलंबित कर दिया गया है.
“சர்ச்சைக்குரிய வகையில் பேசிய நடிகர் ராதாரவியை கட்சியை விட்டு நீக்கிய திமுக தலைவர் மு.க.ஸ்டாலின் அவர்களுக்கு நன்றி”
-நடிகை நயன்தாரா.
pic.twitter.com/4Cu5xNVt3n
— #DMK4TN (@DMK4TN)
March 25, 2019
उन्होंने चेतावनी भरे स्वर में कहा कि पार्टी के लोगों को अपनी राय गरिमापूर्ण ढंग से व्यक्त करनी चाहिए और जो कोई भी उसका उल्लंघन करेगा, उसके खिलाफ कार्रवाई की जाएगी.
इससे पहले #METOO के दौरान राधारवि पर एक महिला ने आरोप लगाया था कि राधारवि ने महिला को चूमा था और अकेले  में मिलने के लिए कहा था."
"बदल गया बिहार बोर्ड के मैट्रिक और इंटर की परीक्षा का पैटर्न, पूछे जाएंगे 50 ऑब्जेक्टिव सवाल","पिछले 2 साल से लगातार 'आजतक' ने खुलासा किया है कि किस तरीके से बिहार में टॉपर्स घोटाला हो रहा है जिसकी वजह से नीतीश कुमार सरकार कटघरे में खड़ी है? पिछले साल 'आजतक' ने दिखाया किस तरीके से इंटरमीडिएट की परीक्षा में साइंस और आर्ट्स टॉपर को अपने विषय के बारे में कोई जानकारी नहीं थी और इस साल भी इंटरमीडिएट के आर्ट्स टॉपर को अपने विषय संगीत के बारे में भी कोई अता पता नहीं था जिसमें उसने सबसे ज्यादा अंक पाए थे.
सवाल केवल नीतीश कुमार सरकार पर ही नहीं बल्कि बिहार विद्यालय परीक्षा समिति पर भी उठ रहे हैं जो राज्य में मैट्रिक और इंटर की परीक्षाएं आयोजित करता है. ऐसे में अगले साल से बिहार सरकार और बिहार विद्यालय परीक्षा समिति को किरकिरी नहीं झेलना पड़े. इसको लेकर बिहार बोर्ड ने मैट्रिक और इंटर की परीक्षा पैटर्न में बड़ा बदलाव किया है. मैट्रिक और इंटर की परीक्षा पैटर्न में बड़े बदलाव की जानकारी सोमवार को बिहार बोर्ड के चेयरमैन आनंद किशोर ने दी.
आइए आपको बताते हैं कि 2018 से होने वाली
मैट्रिक और इंटर
की परीक्षा पैटर्न में क्या-क्या बदलाव हुए.
- बिहार बोर्ड के मैट्रिक परीक्षा में 50% प्रश्न ऑब्जेक्टिव होंगे.
- प्रत्येक ऑब्जेक्टिव प्रश्न 1-1 अंक का होगा, यानी कि 50 सवाल 50 अंक.
- ऑब्जेक्टिव प्रश्नों के अलावा बाकी प्रश्न 2 और 5 अंक के होंगे.
- मैट्रिक परीक्षा में ऑब्जेक्टिव प्रश्नों के लिए ओएमआर उत्तर पत्रिका छात्रों को दिए जाएंगे जिस पर ऑब्जेक्टिव प्रश्नों का उत्तर देना होगा.






अगले वर्ष होने वाले मैट्रिक और
इंटरमीडिएट की परीक्षा
में बैठने वाले छात्र इस नए बदलाव से वाकिफ हो जाए इसको लेकर भी बिहार बोर्ड ने तैयारी शुरू कर दी है. परीक्षा पैटर्न में बदलाव आगामी सेंट अप परीक्षा से ही लागू कर दिए जाएंगे. बिहार बोर्ड के चेयरमैन आनंद किशोर मानना है कि परीक्षा पैटर्न में बदलाव से ना केवल परीक्षा प्रणाली में सुधार आएगा बल्कि रिजल्ट भी बेहतर होंगे."
"ASIA CUP: आखिरी ओवर में चाहिए थे 6 रन, बल्ले से निकले 5, फिर भी जीती टीम इंडिया","भारत और
बांग्लादेश
के बीच खेला गया
एशिया कप
का फाइनल मुकाबला ठीक उसी तरह का हुआ जिसका हर क्रिकेट प्रेमी उम्मीद करता है. टूर्नामेंट की दो सर्वश्रेष्ट टीमों के बीच हुआ यह मुकाबला आखिरी गेंद तक पहुंचा. अगर कहें क्रिकेट फैंस के लिए ये ड्रीम फाइनल था तो गलत नहीं होगा.
इस रोमांचक मुकाबले में
भारतीय टीम
ने जीत तो हासिल कर ली लेकिन बांग्लादेश की टीम ने अपने प्रदर्शन से फैंस का दिल जीत लिया. टॉस हारकर पहले बल्लेबाजी करते हुए बांग्लादेश की टीम ने 50 ओवर में 222 रन बनाए. इस लक्ष्य को भारतीय टीम ने 7 विकेट खोकर हासिल कर लिया और 7वीं बार एशिया कप पर कब्जा कर लिया.
एक समय बांग्लादेश 20 ओवर में बिना किसी विकेट के नुकसान पर 120 रन बनाकर बड़े लक्ष्य की ओर बढ़ता दिख रहा था. लेकिन भारतीय टीम के स्पिनर केदार जाधव ने एक बार फिर गेंद से कमाल किया और भारत को पहली सफलता दिलाई. बांग्लादेश का पहला विकेट गिरते ही मैच का पासा पलटा और भारतीय टीम ने मैच में जबरदस्त वापसी की.
कुलदीप, केदार और चहल की स्पिन तिकड़ी के आगे बांग्लादेशी बल्लेबाजों की एक न चली और एक करके सब निपटते गए. 223 रन के टारगेट का पीछा करने उतरी भारतीय टीम की शुरूआत भी अच्छी नहीं रही. शानदार फॉर्म में चल रहे शिखर धवन के रूप में भारतीय टीम को पहला झटका लगा.
बांग्लादेशी गेंदबाज निरंतर अंतराल पर विकेट चटकाते रहे. हालांकि जब दिनेश कार्तिक और महेंद्र सिंह धोनी बल्लेबाजी कर रह थे तो ऐसा लग रहा था भारतीय टीम आसानी से लक्ष्य को हासिल कर लेगी. लेकिन कार्तिक के आउट होते ही भारतीय टीम दबाव में आ गई और 30 रन बाद ही धोनी भी पवेलियन लौट गए. हालांकि बाद में केदार जाधव, रविंद्र जाडेजा और भुवनेश्वर कुमार ने अहम योगदान दिया.






आइए आपको उस आखिरी ओवर के रोमांच के बारे में बताते हैं, जिसने हर क्रिकेट फैंस की सांसों को थाम दिया था
223 रनों के जवाब में भारत को आखिरी छह गेंद में छह रन की जरूरत थी. बांग्लादेश के कप्तान ने स्पिनर महमूदुल्लाह को गेंद सौंपी. सामने बल्लेबाजी कर रहे थे कुलदीप यादव. कुलदीप ने एक रन लेकर स्ट्राइक केदार जाधव को दिया. दूसरी गेंद पर केदार ने एक रन लिया. अब चाहिए थे 4 गेंद में 4 रन.
तीसरी गेंद पर कुलदीप यादव ने दो रन लिए. अब इसके बाद 3 गेंद में 2 रन चाहिए थे. चौथी गेंद पर कोई भी रन नहीं बना और इस तरह टीम इंडिया को जीत के लिए 2 गेंद में 2 बनाने थे. कुलदीप ने 5वीं गेंद पर रन लेकर स्ट्राइक केदार को दिया.
अब जिस गेंद और रन का सबको इंतजार था वो आ चुकी थी. ओवर की आखिरी गेंद पर केदार ने रन लेकर भारतीय टीम को रोमांचक जीत दिलाई. हालांकि, यह रन केदार जाधव के बल्ले से नहीं निकला, बल्कि गेंद उनके पैड से लगकर लैग साइड में गई और उन्होंने तेजी से दौड़ते हुए विजयी रन पूरा कर लिया.
भारतीय टीम की पारी
भारत के लिए कप्तान रोहित शर्मा (48) सर्वोच्च स्कोरर रहे. उन्होंने अपनी पारी में 55 गेंदों का सामना किया और तीन चौकों के अलावा इतने ही छक्के लगाए. दिनेश कार्तिक ने 37 और महेंद्र सिंह धोनी ने 36 रन बनाए. केदार जाधव ने भी 27 गेंदों में 23 रनों की नाबाद पारी खेली.
7वीं बार एशिया कप पर कब्जा
भारतीय टीम ने 7वीं बार एशिया कप पर कब्जा किया है. भारत इससे पहले 1984, 1988, 1990/91, 1995, 2010, 2016 में एशिया कप का चैंपियन बन चुका है. एशिया कप के इतिहास में भारत ही एक ऐसी टीम है जिसने सबसे ज्यादा 7 बार यह खिताब अपने नाम किया है."
"टांबे ने लगाया विकेटों का 'चौका', राजस्थान रॉयल्स ने  रॉयल चैलेंजर्स बेंगलुरु को हराया","आईपीएल-7 के लीग मुकाबले में राजस्थान रॉयल्स ने रॉयल चैलेंजर्स बेंगलुरु को बड़ी ही आसानी से 6 विकेट से हराते हुए अपनी दूसरी जीत दर्ज की. गेंदबाज प्रवीण टांबे (4/20) राजस्थान की जीत के हीरो रहे. अबु धाबी के शेख जायेद स्टेडियम पर खेले गए इस मुकाबले में बेंगलुरु ने पहले बल्लेबाजी की और महज 70 रनों पर सिमट गई.
राजस्थान ने 71 रनों के मामूली लक्ष्य को चार विकेट खोकर 42 गेंद शेष रहते हासिल कर लिया. आईपीएल-7 में राजस्थान का यह चौथा मैच था, जिसमें उसे दूसरी जीत मिली है. लक्ष्य आसान होने के बावजूद रॉयल्स का भी कोई बल्लेबाज बहुत आसानी से नहीं खेलता दिखा. अजिंक्य रहाणे (23) ने जरूर कुछ आकर्षक शॉट लगाए, लेकिन 31 के कुल स्कोर पर वह विकेट के पीछे लपक लिए गए. मिशेल स्टार्क ने रहाणे का विकेट लिया. रहाणे ने 19 गेंदों में चार चौके लगाए.
मैच को अंजाम तक पहुंचाने वाले शेन वाटसन (24) भी बल्ले से जूझते नजर आए. अंत में जब उन्होंने तेज शॉट लगाने शुरू किए तो डिविलियर्स के हाथों लपक लिए गए. लक्ष्य से ठीक 3 रन पहले वाटसन का विकेट युजवेंद्र चहल ने चटकाया. वाटसन ने 24 गेंदों का सामना कर 1 चौका और 2 छक्का लगाया.
बेंगलुरु के लिए मिशेल स्टार्क ने दो और युजवेंद्र चहल ने एक विकेट लिया, जबकि संजू सैमसन (2) रन आउट हुए. इससे पहले टॉस हारकर पहले बल्लेबाजी करने उतरी बेंगलुरु की टीम 15 ओवरों में 70 रन पर धराशायी हो गई. आईपीएल इतिहास का यह तीसरा न्यूनतम स्कोर और बेंगलुरु का न्यूनतम स्कोर है.






रॉयल चैलेंजर्स का न्यूनतम स्कोर 18 अप्रैल, 2008 को आईपीएल के पहले संस्करण में कोलकाता नाइट राइडर्स के खिलाफ बनाया गया 82 रन था. वहीं आईपीएल का न्यूनतम स्कोर राजस्थान रॉयल्स (58) के नाम है. योगेश टकावले (0) और पार्थिव पटेल (1) के विकेट पहले ही ओवर में गिर गए. स्टुअर्ट बिन्नी के इस ओवर की चौथी गेंद पर टकावले का कैच जहां विकेट के पीछे संजू सैमसन ने लपका, वहीं पांचवीं गेंद पर विराट कोहली (21) की गलत कॉल पर पटेल रन आउट हो गए.
दूसरे ओवर में कोहली और युवराज सिंह (3) ने चार रन जोड़े. इसके बाद केन रिचर्डसन तीसरा ओवर लेकर आए. रिचर्डसन ने मैच के अपने पहले ही ओवर की पहली दो गेंदों पर युवराज और डिविलियर्स (0) के विकेट चटकाकर बेंगलुरु को मुसीबत में डाल दिया.
बेंगलुरु 2.2 ओवरों में पांच रन के स्कोर पर चार अहम विकेट गंवा चुका था और टीम बहुत दबाव में आ चुकी थी, जिसका रॉयल्स के गेंदबाजों ने पूरा फायदा उठाया और मैच पर वे अपना शिकंजा कसते चले गए.
इस मैच में शामिल किए गए सचिन राणा (3) भी इस दबाव को बहुत देर नहीं झेल सके और छठे ओवर की दूसरी गेंद पर शेन वाटसन का शिकार हुए. कोहली इस बीच टीम को संभालने की पूरी कोशिश करते नजर आए.
अब विकेट लेने की बारी प्रवीण टांबे की थी। टांबे ने अपने पहले ही ओवर में एल्बी मोर्कल (7) को स्टीव स्मिथ के हाथों कैच आउट करवा दिया. कोहली भी टांबे के अगले ओवर में साउदी को कैच थमा चलते बने. कोहली ने इस बीच 25 गेंदों का सामना कर तीन चौके लगाए.मिशेल स्टार्क (18) और रवि रामपाल (13) ने इस अपनी बल्लेबाजी से थोड़ा मनोरंजन किया. स्टार्क ने दो चौके और रामपाल ने एक छक्का लगाया. टांबे ने अपने आखिरी ओवर में रामपाल और अशोक डिंडा (0) के दो विकेट हासिल किए. आईपीएल-7 में एक इनिंग में चार विकेट हासिल करने वाले छठे गेंदबाज हैं."
17 किलो की बिल्ली देखी है कभी?,"क्या आपने कभी 17 किलो की बिल्ली देखी है? नहीं ना, जर्मनी की एक बैंकर के पास एक ऐसी बिल्ली है, जिसका वजन एक 3 साल के बच्चे की तरह है. बैंकर का दावा है कि इसकी गिनती दुनिया की सबसे भारी बिल्ली में है.
इस
बिल्ली
को मधुमेह के साथ ही मोटापा भी है. कुछ दूर चलने के बाद ही ये थककर आराम करती है. मोटापे की वजह से डॉक्टरों ने इसे कारबोहाइड्रेट-फ्री खाना खिलाने के लिए कहा है. इसके मधुमेह को नियंत्रण में रखने के लिए इसे दिन में दो इंसुलिन इंजेक्शन लगते हैं.
34 वर्षीय कैटरीन हेसबर्ग ए‍ेनिमल चैरिटी वॉलें‍टीयर है. वह कहती हैं, 'एलविस जर्मनी की सबसे मोटी बिल्ली है. ये बिल्ली हमें पांच साल पहले मिली थी.' जब ये
बिल्ली
आर्क-90 को मिली थी, तो 14 किलो की थी. फिर संस्था इसकी खूब देखभाल करने लगी. इसे खान-पान पर खास ध्यान दिया जाता है.
कैटरीन ने बताया कि मोटापे की वजह से एल्वि‍न को चलने-फ‍िरने में दिक्कत होती है. वह अन्य बिल्ल‍ियों की तरह तेजी से दौड़-भाग नहीं सकती, लेकिन इसे सबसे बहुत प्यार है और इसे गोदी में रहना बहुत पसंद है. कैटरीन के मुताबिक गिनीज बुक ऑफ वर्ल्ड रिकॉर्ट ने कहा है कि उनके पास दुनिया के सबसे भारी पशुओं का रिकॉर्ड नहीं है."
"हाथ जोड़कर बोले नायडू- हमें बचाने के लिए 9 लोगों ने दी थी जान, आज तो सदन चलने दो","शीतकालीन सत्र के तीसरे दिन बुधवार को संसद के दोनों सदनों में जोरदार हंगामा देखने को मिला. राज्यसभा में कावेरी नदी पर बांध बनाए जाने के विरोध समेत अन्य मुद्दों पर एआईएडीएमके, डीएमके सांसदों समेत विभिन्न दलों के सदस्यों ने वेल में आकर प्रदर्शन किया. इसके बाद उच्च सदन की कार्यवाही को 10 मिनट बाद ही पूरे दिन के लिए स्थगित कर दिया गया.
राज्यसभा की कार्यवाही शुरू होते ही पूरे सदन ने मौन रखकर संसद हमले की बरसी पर शहीदों को याद किया. इसके बाद से सदन में लगातार हंगामा जारी रहा. सांसदों के व्यवहार से नाराज सभापति वेंकैया नायडू ने कहा कि सदन सभी मुद्दों पर चर्चा के लिए तैयार है लेकिन चर्चा नियमों के मुताबिक ही की जाएगी.
हंगामा कर रहे सांसदों को फटकार लगाते हुए सभापति ने कहा कि आज हमारी और संसद की रक्षा करते हुए 9 लोगों ने अपनी जान गंवाई थी और हम सभी ने उन्हें अभी श्रद्धांजलि दी है, कम से कम आज तो सदन की कार्यवाही को चलने दीजिए. उन्होंने कहा कि सभी सांसद अपनी सीट पर जाकर बैठ जाएं, इस हंगामे से खराब संदेश जाएगा. इसके बाद भी हंगामा न थमते देख सभापति ने सदन की कार्यवाही शुक्रवार तक के लिए स्थगित कर दी.
उधर, लोकसभा में भी राम मंदिर, राफेल डील, आंध्र प्रदेश के लिए विशेष राज्य के दर्जे की मांग और कावेरी मुद्दों पर शिवसेना, कांग्रेस, टीडीपी और एआईएडीएमके के सांसदों ने हंगामा किया. लोकसभा की कार्यवाही शुरू होने के कुछ मिनटों बाद पहले 11.20 बजे तक, फिर 12 बजे तक और इसके बाद दिनभर के लिए स्थगित कर दी गई.






संसद हमले की बरसी
आज देश की संसद पर हुए आतंकी हमले की बरसी है. साल 2001 में आज ही के दिन 5 बंदूकधारियों ने संसद परिसर पर हमला कर वहां अंधाधुंध गोलियां बरसाईं थीं. इस हमले में दिल्ली पुलिस के 5 कर्मियों, केंद्रीय रिजर्व पुलिस बल की एक महिला अधिकारी, संसद भवन के दो वॉच और वार्ड कर्मचारी, एक माली और एक कैमरामैन की मौत हो गई थी.
प्रधानमंत्री नरेंद्र मोदी ने संसद हमले में शहीद हुए लोगों को गुरुवार को श्रद्धांजलि दी और उनकी वीरता को सलाम करते हुए कहा कि उनकी बहादुरी लोगों को प्रेरणा देती है. इसके अलावा तमाम सांसदों ने संसद परिसर में शहीदों की तस्वीरों पर फूल चढ़ाकर उन्हें श्रद्धांजलि दी."
"नौकरशाही में बड़ा फेरबदल, कई बड़े अधिकारियों के बदले विभाग","भारत सरकार की नौकरशाही में बड़ा फेरबदल किया गया है. आर सुब्रह्मण्यम का अब सामाजिक सुरक्षा और सशक्तिकरण विभाग में तबादला कर दिया गया है.
वहीं, अमित खरे को एचआरडी मंत्रालय के उच्च शिक्षा विभाग में सचिव के तौर पर नियुक्त किया गया है. इसके अलावा रवि मित्तल को आईबी मंत्रालय में सचिव नियुक्त किया गया है. इसके साथ ही रामेश्वर प्रसाद गुप्ता को नीति आयोग में विशेष सचिव नियुक्त किया गया है.
इससे पहले केंद्र सरकार ने बीते अक्टूबर में भी एक बड़ा प्रशासनिक फेरबदल करते हुए 10 भारतीय प्रशासनिक सेवा (आईएएस) अधिकारियों का तबादला और उन्हें पदोन्नत करने का फैसला लिया था. इसके अलावा 13 अन्य अधिकारियों को उनकी रैंक में बढ़ोतरी करते हुए विशेष सचिव की जिम्मेदारी दी गई थी. जम्मू-कश्मीर कैडर के 1984 बैच के अधिकारी बृजराज शर्मा, जो गृह मंत्रालय में सीमा प्रबंधन के सचिव थे, को कर्मचारी चयन आयोग (एसएससी) के अध्यक्ष के तौर पर स्थानांतरित कर दिया गया था.
कार्मिक मंत्रालय द्वारा जारी आदेश में शर्मा के अलावा नौ अन्य अधिकारियों को भी कई अन्य विभागों में स्थानांतरित किया गया. उनमें से दो 1985 बैच के, तीन 1986 बैच के और 1987 के चार अधिकारी शामिल रहे. प्रधानमंत्री नरेंद्र मोदी की अध्यक्षता में मंत्रिमंडल की नियुक्ति समिति (एसीसी) ने यह निर्णय लिया.
गृह मंत्रालय में आंतरिक सुरक्षा के विशेष सचिव संजीव गुप्ता (1985 बैच, हिमाचल प्रदेश कैडर) को मंत्रालय के अंतर राज्य परिषद सचिवालय में सचिव के रूप में स्थानांतरित किया गया. इसके अलावा शैलेश (1985 बैच, असम कैडर) जो गृह मंत्रालय में सचिव के रूप में कार्यभार संभाल रहे थे, उन्हें भारी उद्योग एवं सार्वजनिक उद्यम मंत्रालय में सार्वजनिक उद्यम विभाग के सचिव की जिम्मेदारी सौंपी गई.






आलोक टंडन (1986 बैच, उत्तर प्रदेश कैडर) फिलहाल प्रशासनिक सुधार और लोक शिकायत विभाग में सचिव हैं. उन्हें अब पेंशन और पेंशनर्स कल्याण विभाग के सचिव पद का अतिरिक्त प्रभार दिया गया. संजीव नंदन सहाय (1986 बैच, उत्तराखंड कैडर) फिलहाल विद्युत विभाग में विशेष सचिव का कार्यभार संभाले हुए थे, उन्हें अब सचिव के रूप में पदोन्नत किया गया.
प्रमोद कुमार दास (1986 बैच, मध्य प्रदेश कैडर) वित्त मंत्रालय में व्यय विभाग के विशेष सचिव थे. उनका तबादला अल्पसंख्यक मामलों के मंत्रालय में सचिव के रूप में किया गया. नागेंद्र नाथ सिन्हा (1987 बैच), जो सड़क परिवहन और राजमार्ग मंत्रालय के तहत भारतीय राष्ट्रीय राजमार्ग प्राधिकरण के अध्यक्ष थे, उन्हें बृजराज शर्मा के स्थान पर गृह मंत्रालय में सीमा प्रबंधन सचिव के तौर पर स्थानांतरित किया गया.
इसी के साथ तुहिन कांता पांडे (1987 बैच), पंकज कुमार (1987 बैच), राजेश भूषण (1987 बैच) को भी नई जिम्मेदारी सौंपी गई. इसके अलावा एसीसी ने 13 अन्य आईएएस अधिकारियों को विशेष सचिव के पद की जिम्मेदारी मिली.
इन अधिकारियों में अरुण सिंघल, वी. पी. जॉय, सुनील कुमार, तलीन कुमार, राजीव रंजन मिश्रा, प्रदीप कुमार त्रिपाठी, राज कुमार, बरुण मित्रा, प्रवीण कुमार, मनोज झालानी, वसुधा मिश्रा, लीना नंदन और प्रवीर कृष्ण शामिल हैं."
